City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
449,Namtsy,RU,62.7161,129.6658,9.52,97,30,4.72,scattered clouds
450,Zhanakorgan,KZ,43.9098,67.2495,78.08,25,80,10.96,broken clouds
451,Ponta Delgada,PT,37.7333,-25.6667,65.12,72,20,17.27,few clouds
452,Rodrigues Alves,BR,-7.738,-72.6509,84.4,60,4,4.56,clear sky
453,Marsa Matruh,EG,31.3525,27.2453,73.56,50,97,21.45,overcast clouds
454,Kungurtug,RU,50.5994,97.5228,32.52,90,22,2.33,few clouds
455,College,US,64.8569,-147.8028,13.98,50,20,9.22,few clouds
456,Palamos,ES,41.8484,3.1291,72.0,47,0,1.99,clear sky
457,Khotyn,UA,48.4833,26.5,45.05,42,100,13.22,overcast clouds
458,Caravelas,BR,-17.7125,-39.2481,79.65,63,100,11.99,overcast clouds
459,Puerto Madryn,AR,-42.7692,-65.0385,62.64,63,3,20.69,clear sky
460,Madang,PG,-5.2246,145.7966,76.53,90,71,1.77,heavy intensity rain
461,Skjervoy,NO,70.0311,20.9714,42.8,96,100,8.21,overcast clouds
462,Shalya,RU,57.2471,58.7298,32.05,98,100,2.8,light snow
463,Sterling,US,39.0062,-77.4286,54.25,45,20,17.0,few clouds
464,Arman,RU,59.7,150.1667,21.22,80,100,5.97,overcast clouds
465,Banjar,ID,-8.19,114.9675,79.61,89,100,2.73,overcast clouds
466,Puntarenas,CR,9.9763,-84.8384,87.21,51,89,4.56,overcast clouds
467,Gazipur,BD,23.9981,90.423,85.96,66,40,13.8,haze
468,Te Anau,NZ,-45.4167,167.7167,44.73,93,20,1.92,few clouds
469,Naliya,IN,23.2667,68.8333,81.59,76,2,13.02,clear sky
470,Teacapan,MX,22.55,-105.75,76.01,38,78,2.98,broken clouds
471,Inongo,CD,-1.95,18.2667,79.65,73,98,1.23,overcast clouds
472,Santa Cruz De La Palma,ES,28.6835,-17.7642,73.54,73,0,16.11,clear sky
473,Birao,CF,10.2849,22.7882,102.06,17,78,1.7,broken clouds
474,Mujiayingzi,CN,42.1167,118.7833,52.11,31,100,11.07,overcast clouds
475,Constitucion,CL,-35.3333,-72.4167,61.72,62,77,4.23,broken clouds
476,Anadyr,RU,64.75,177.4833,21.61,94,100,10.27,overcast clouds
477,Talnakh,RU,69.4865,88.3972,10.99,96,100,9.1,light snow
478,Ivanava,BY,52.1451,25.5365,44.35,48,100,11.61,overcast clouds
479,Kolpashevo,RU,58.3131,82.9089,37.33,90,100,10.56,overcast clouds
480,Kijang,KR,35.2442,129.2139,58.95,43,100,4.56,overcast clouds
481,Naifaru,MV,5.4444,73.3657,84.9,73,100,10.31,overcast clouds
482,Kysyl-Syr,RU,63.8986,122.7617,27.43,84,100,12.15,overcast clouds
483,Huilong,CN,31.8111,121.655,57.92,60,100,6.82,overcast clouds
484,Natal,BR,-5.795,-35.2094,88.45,66,75,13.8,broken clouds
485,Roald,NO,62.5833,6.1333,63.52,50,40,3.44,scattered clouds
486,Alyangula,AU,-13.8483,136.4192,79.29,79,100,14.12,overcast clouds
487,Jonkoping,SE,57.7814,14.1562,61.39,47,22,8.05,few clouds
488,Broken Hill,AU,-31.95,141.4333,72.68,32,100,12.39,overcast clouds
489,Carapegua,PY,-25.8,-57.2333,72.19,55,36,1.05,scattered clouds
490,Madras,IN,13.0878,80.2785,85.98,84,40,4.61,scattered clouds
491,Marawi,PH,7.9986,124.2928,69.31,95,88,1.12,overcast clouds
492,Faya,SA,18.3851,42.4509,72.12,49,74,4.36,moderate rain
493,Bongandanga,CD,1.5,21.05,88.99,48,93,5.32,overcast clouds
