City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Jacareacanga,BR,84.52,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
536,Yambio,SS,77.54,light rain,4.5721,28.3955,Naivasha Hotel
539,Mocoa,CO,77.0,overcast clouds,1.1493,-76.6466,selvamorena
542,Isangel,VU,79.3,light rain,-19.55,169.2667,Tanna Lodge
545,Gudalur,IN,75.29,moderate rain,9.6833,77.2667,Hotel Lemurian Heritage
546,Tautira,PF,80.15,few clouds,-17.7333,-149.15,Pension Oaoa
547,Manggar,ID,82.74,broken clouds,-2.8833,108.2667,Guest Hotel
548,Hun,LY,75.67,clear sky,29.1268,15.9477,Alrwasi Hotel
557,Kununurra,AU,76.98,few clouds,-15.7667,128.7333,Hotel Kununurra
558,Jawhar,SO,87.03,light rain,2.7809,45.5005,hantiwadaag village part one
564,Mayumba,GA,81.91,overcast clouds,-3.432,10.6554,LIKWALE LODGE
565,Lubango,AO,71.82,light rain,-14.9172,13.4925,Hotel Serra da Chela
568,Banyo,CM,87.1,broken clouds,6.75,11.8167,Motel JOMBA
569,Alice Springs,AU,81.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
570,Coahuayana,MX,79.7,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
572,Campo Grande,BR,76.55,clear sky,-20.4428,-54.6464,OYO Athenas Apart Hotel
574,Lubumbashi,CD,70.61,light rain,-11.6609,27.4794,Glo Flats
579,Abu Kamal,SY,81.82,clear sky,34.4506,40.9171,محطة التلفاز
580,Itacoatiara,BR,81.19,moderate rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
583,Nebbi,UG,82.22,broken clouds,2.4783,31.0889,Satellite One Hotel
593,Rayachoti,IN,85.05,broken clouds,14.05,78.75,Swetha lodge
594,Coruripe,BR,86.88,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
598,Labuhan,ID,81.7,scattered clouds,-6.8844,112.2051,DoubleFAG
599,Remanso,BR,84.97,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
600,Bull Savanna,JM,80.24,clear sky,17.8868,-77.5902,Big Red's
601,Alcudia,ES,75.38,clear sky,39.8532,3.1214,Zafiro Tropic
603,Jati,PK,85.71,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
606,Kendari,ID,75.22,overcast clouds,-3.945,122.4989,Hotel Wixel
607,Saint-Georges,GD,81.21,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
613,Kirakira,SB,79.72,overcast clouds,-10.4544,161.9205,SanBiz Lodge
614,Kilindoni,TZ,82.04,light rain,-7.9139,39.6668,Bustani B&B
619,Haapiti,PF,76.73,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
622,Vallenar,CL,73.74,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
623,Mangrol,IN,81.45,clear sky,21.1167,70.1167,Hotel The Royal Honours
625,Apac,UG,78.85,overcast clouds,1.9756,32.5386,Double Duez Apac
628,Dindori,IN,85.23,clear sky,22.95,81.0833,Konark Marriage Garden
631,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
632,Kokopo,PG,77.76,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
633,Bambanglipuro,ID,79.39,overcast clouds,-7.95,110.2833,Puri Brata
634,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
636,San Juan Bautista,PE,74.01,overcast clouds,-14.0108,-75.7358,Hotel Las Dunas
637,Doha,QA,88.11,clear sky,25.2867,51.5333,Movenpick Hotel Doha
642,Nabire,ID,77.29,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
643,Marco,US,83.05,broken clouds,25.9726,-81.729,Marco Island Lakeside Inn
645,Luwuk,ID,77.4,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
651,Sambava,MG,78.17,light rain,-14.2667,50.1667,Melrose
653,Guane,CU,84.7,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
658,Ewa Beach,US,73.44,clear sky,21.3156,-158.0072,Base Lodging
660,Manaure,CO,85.19,overcast clouds,11.7751,-72.4445,Hotel Palaaima
663,Guamuchil,MX,79.84,overcast clouds,25.4667,-108.1,Hotel Heredia
664,Port-Gentil,GA,84.16,thunderstorm,-0.7193,8.7815,Fengshui Residence
